source,target,anchor,rel,representation,internal,target_status,target_error,target_missing_content_candidate,checked
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Rehman VETERINARY,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Home,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,How It Works,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Services,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Book,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Reviews,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,About,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Book Now,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Book home visit,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Start video now,[],rendered,True,200,,False,True
https://rehmanvetclinic.com/,https://rehmanvetclinic.com/,Start video — $49,[],rendered,True,200,,False,True
