source,target,anchor,rel,representation,internal,target_status,target_error,target_missing_content_candidate,checked
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/,Skip to content,[],raw,True,200,,False,True
https://roundlakeanimalhospital.com.pk/,http://roundlakeanimalhospital.com.pk/,,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://docs.google.com/forms/d/e/1FAIpQLSfvuDN1A7m8c-SgaiEmJprfN7JNpw29MY3yGLb19GgiVpfh0A/viewform?usp=sf_link,Let's Talk,[],raw,False,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/,Services,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/parvo-treatment-and-hospitalization-lahore/,Parvo Treatment and Hospitalization,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/surgeries-and-operations/,Surgeries and Operations,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/vaccination-and-deworming/,Vaccination and Deworming,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/training-services/,Professional Training,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/grooming-services/,Professional Grooming,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/boarding-services/,Boarding & Pets Day Care,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/dental-services/,Dental Care and Services,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/hospitalization-services/,Pet Hospitalization,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/laser-treatments/,Laser Treatment,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/allergy-aide/,Allergy Aide,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/microchipping-services/,Pets Microchipping,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/equine-care-services/,Equines Care & Services,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/global-pet-transportation-services/,Global Pet Transportation,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/ambulance-services/,Animal Ambulance Service,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/veterinary-laboratory/,Veterinary Laboratory,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/contact-us/,Contact Us,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/round-lake-petsmart/,Round Lake Pets Mart,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://petsmart.com.pk/,Website Link Round Lake PetsMart,[],raw,False,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/birds-market-andavian-care-center/,Birds Market & Avian Care Center,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/blog/,Latest Insights,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/,Services,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/parvo-treatment-and-hospitalization-lahore/,Parvo Treatment and Hospitalization,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/surgeries-and-operations/,Surgeries and Operations,[],raw,True,,,False,False
https://roundlakeanimalhospital.com.pk/,https://roundlakeanimalhospital.com.pk/veterinary-services/vaccination-and-deworming/,Vaccination and Deworming,[],raw,True,,,False,False
