url,depth,source,state,reason
https://matchvet.com/,0,seed,done,
https://matchvet.com/pet-food-subscription,1,anchor,pending,
https://matchvet.com/budget-vet-matching,1,anchor,pending,
https://matchvet.com/vets/lahore,1,anchor,pending,
https://matchvet.com/home-visit-vet-lahore,1,anchor,pending,
https://matchvet.com/vet-prices-lahore,1,anchor,pending,
https://matchvet.com/online-vet-consultation-pakistan,1,anchor,pending,
https://matchvet.com/blog,1,anchor,pending,
https://matchvet.com/faq,1,anchor,pending,
https://matchvet.com/vets/lahore/dha,1,anchor,pending,
https://matchvet.com/vets/lahore/gulberg,1,anchor,pending,
https://matchvet.com/vets/lahore/johar-town,1,anchor,pending,
https://matchvet.com/vets/lahore/pechs,1,anchor,pending,
https://matchvet.com/vets/lahore/township,1,anchor,pending,
https://matchvet.com/vets/lahore/wapda-town,1,anchor,pending,
https://matchvet.com/home-visit-vet-gujranwala,1,anchor,pending,
https://matchvet.com/privacy-policy,1,anchor,pending,
https://matchvet.com/terms-of-service,1,anchor,pending,
https://matchvet.com/account-deletion,1,anchor,pending,
