source,target,anchor,rel,representation,internal,target_status,target_error,target_missing_content_candidate,checked
https://matchvet.com/,https://matchvet.com/,MatchVet,[],raw,True,200,,False,True
https://matchvet.com/,https://www.matchvet.app/,Web app ↗,[],raw,False,,,False,False
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Get it on Google Play,[],raw,False,,,False,False
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Get it on Google Play,[],raw,False,,,False,False
https://matchvet.com/,https://matchvet.com/pet-food-subscription,Pet food subscription,[],raw,True,,,False,False
https://matchvet.com/,https://www.matchvet.app/,Visit Web App,[],raw,False,,,False,False
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Read more reviews on Google Play →,[],raw,False,,,False,False
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Get it on Google Play,[],raw,False,,,False,False
https://matchvet.com/,https://www.matchvet.app/,Or use the web app,[],raw,False,,,False,False
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Get the app ↗,[],raw,False,,,False,False
https://matchvet.com/,https://www.matchvet.app/,Web app ↗,[],raw,False,,,False,False
https://matchvet.com/,https://matchvet.com/budget-vet-matching,Budget vet matching,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/pet-food-subscription,Pet food subscription,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/,For vets,[],raw,True,200,,False,True
https://matchvet.com/,https://play.google.com/store/apps/details?id=com.matchvet.app,Reviews ↗,[],raw,False,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore,Vets in Lahore,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/home-visit-vet-lahore,Home-visit vet Lahore,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vet-prices-lahore,Vet prices in Lahore,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/online-vet-consultation-pakistan,Online vet consultation,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/blog,Blog,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/faq,FAQ,[],raw,True,,,False,False
https://matchvet.com/,https://wa.me/923121488954,WhatsApp: 0312 1488954,[],raw,False,,,False,False
https://matchvet.com/,https://matchvet.com/,Instagram,[],raw,True,200,,False,True
https://matchvet.com/,https://matchvet.com/,LinkedIn,[],raw,True,200,,False,True
https://matchvet.com/,https://matchvet.com/vets/lahore/dha,DHA,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore/gulberg,Gulberg,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore/johar-town,Johar Town,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore/pechs,PECHS,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore/township,Township,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/vets/lahore/wapda-town,Wapda Town,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/home-visit-vet-gujranwala,Gujranwala,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/privacy-policy,Privacy Policy,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/terms-of-service,Terms of Service,[],raw,True,,,False,False
https://matchvet.com/,https://matchvet.com/account-deletion,Account deletion,[],raw,True,,,False,False
https://matchvet.com/,https://wa.me/923121488954,Help? WhatsApp us,[],raw,False,,,False,False
